"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"273",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278",0,4,1,0,0,0,0,2,0,0,1,5,0,0,1,0
"279",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"280",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282",2,17,0,0,0,0,0,4,0,0,0,0,0,0,6,0
"283",3,16,0,0,2,10,1,3,0,0,0,0,0,3,1,3
"284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"286",6,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1
"287",29,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3
"288",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"290",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"292",16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"295",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,1,2,3,0,0,0,0,6,0
"298",0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
"299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300",0,0,0,0,0,0,1,15,0,3,0,1,0,0,0,0
"301",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"303",0,3,0,0,0,0,0,6,0,0,0,15,0,0,0,0
"304",0,0,0,46,2,0,0,99,0,0,0,0,0,0,0,2
"305",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"307",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"309",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"310",1,15,0,0,0,0,0,0,0,0,0,0,0,0,11,2
"311",0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
"312",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"313",0,18,0,5,0,0,0,15,0,0,0,0,0,0,0,2
"314",0,23,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"315",0,15,0,9,0,0,0,4,0,0,0,2,0,0,0,0
"316",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"317",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"319",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"320",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"321",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
